17,18,16,17,16,16,17,16,18,16,18,17,18,17,17,17,17,18,18,16,16,16,16,16,16,18,18,17,16,16,16,16,16,16,16,17,16,17,17,16
16,18,18,17,17,17,16,17,16,17,18,18,16,17,17,17,16,17,17,17,18,18,17,18,18,17,18,16,18,17,18,18,16,16,17,17,18,16,16,18
18,16,16,16,18,16,18,16,18,17,18,16,18,16,16,17,18,16,16,18,18,16,17,18,17,18,16,18,16,17,16,16,18,17,18,16,16,18,17,17
17,17,17,18,18,17,18,17,18,17,18,17,17,17,18,18,17,17,16,18,16,18,16,18,17,18,16,17,18,17,16,16,17,17,18,17,18,17,17,17
18,16,16,17,18,18,18,18,16,17,18,16,18,16,17,16,18,18,16,16,16,16,16,16,17,18,17,18,16,18,17,18,16,18,18,18,17,16,18,16
16,18,18,17,16,17,17,17,18,17,16,17,18,16,18,18,18,18,16,16,16,18,16,17,17,18,17,17,17,17,16,18,16,16,16,17,17,16,17,18
17,17,20,16,17,16,17,18,17,16,16,17,18,16,17,16,16,17,17,17,18,16,16,17,16,17,18,17,17,16,18,17,18,18,16,17,18,17,17,17
18,21,18,22,17,6,17,18,18,18,19,18,18,18,18,18,17,18,17,18,17,16,18,18,16,18,18,18,17,18,17,17,16,16,18,17,18,16,18,17
11,18,8,16,14,16,8,18,10,16,18,16,17,18,16,16,18,16,18,17,16,17,18,17,17,16,18,16,17,17,17,17,18,16,16,16,17,16,18,18
-1,-1,-1,-1,-1,-1,-1,18,18,16,16,17,16,18,16,18,17,18,16,17,17,17,18,16,16,18,17,18,17,18,18,17,16,17,16,17,18,16,16,17
-1,-1,-1,-1,-1,-1,-1,-1,10,17,4,18,17,18,16,17,18,17,18,18,17,16,17,16,18,16,16,17,16,17,17,17,18,16,16,17,16,16,17,18
-1,-1,-1,-1,-1,-1,-1,-1,-1,17,17,16,16,11,17,16,18,18,18,17,18,18,18,16,17,17,17,18,16,16,16,16,16,16,18,18,17,17,17,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,16,17,16,9,18,18,17,18,18,18,16,16,17,17,17,17,18,18,16,18,16,17,17,18,17,17,17,17
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,18,13,16,11,18,17,18,17,17,16,18,16,18,16,18,17,18,17,17,16,16,18,16,17,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,5,17,16,10,17,16,8,17,15,16,8,16,17,18,6,17,18,18,16,17,16,17,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,18,17,4,16,18,18,3,17,14,16,17,16,12,18,18,18,18,18,16,17
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,16,10,17,17,17,17,4,17,9,17,16,6
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,18,18,9,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
